spotify_track_uri,track_name,artist_name,play_count,recency_days,repeat_probability
2eZ1S67UGlyCB5388TvxHf,Hoy,David Bisbal,4,3,0.9999449
4HiVpz0nbHCzcIMxVDyLNR,Wild Love,James Bay,4,2,0.9999125
3Dr1BaQdxLScuXu1RTeCPY,Juan Charrasqueado,Victor Cordero,4,2,0.9999125
64DxdXTNY58CVu2j5QjCIk,Does Your Mother Know - From 'Mamma Mia!' Original Motion Picture Soundtrack,Christine Baranski,5,3,0.9999106
6lMmEPTbkiVeWixfw34yIF,Desde Que Te Perdí,Kevin Johansen,4,22,0.9999082
5SQKCi4FIW4mpi9pj1vJ3Y,Qualified,Dr. John,4,8,0.9999082
6aVssog265SY3b7EuhLDPf,For No One - 2022 Mix,The Beatles,4,7,0.99990606
6MvGg9X7lIt64WW28Nxfxo,Texas Flood,Stevie Ray Vaughan,4,3,0.9998963
5EskUV4Rg1VMNVPB32xUme,Nómadas,La Maravillosa Orquesta del Alcohol,4,2,0.9998963
35Fjjqjlq3YRJbK8QM7OGK,El Agua Clara,Contacto Norte,4,9,0.9998963
